Date,Description,Category,Amount,Type,clean_description
07-05-2021,Third letter sort reveal seven.,Shopping,1421.9,Expense,third letter sort reveal seven
07-05-2021,Have including none.,Rent,816.01,Expense,including none
10-05-2021,Administration network once.,Utilities,1604.63,Expense,administration network
11-05-2021,Charge form here.,Health & Fitness,185.38,Expense,charge form
11-05-2021,Nearly want front shake.,Entertainment,877,Expense,nearly want front shake
12-05-2021,Leave run goal cause.,Rent,797.58,Expense,leave run goal cause
14-05-2021,Contain threat wrong whatever.,Health & Fitness,450.93,Expense,contain threat wrong whatever
14-05-2021,Stuff avoid.,Rent,1025.86,Expense,stuff avoid
15-05-2021,Include successful.,Investment,3362,Income,include successful
17-05-2021,Religious across.,Utilities,480.18,Expense,religious across
19-05-2021,Health pay project pattern.,Investment,1921,Income,health pay project pattern
22-05-2021,Administration mother in admit.,Rent,362.52,Expense,administration mother admit
23-05-2021,Within admit spend purpose south.,Salary,933.27,Expense,within admit spend purpose south
24-05-2021,Truth modern.,Salary,1365.46,Expense,truth modern
24-05-2021,People education great.,Health & Fitness,1729.85,Expense,people education great
24-05-2021,Health image.,Utilities,885.13,Expense,health image
25-05-2021,Wrong difficult range.,Travel,1594.7,Expense,wrong difficult range
25-05-2021,Behavior here.,Health & Fitness,1019.6,Expense,behavior
27-05-2021,Argue act commercial matter.,Salary,84.84,Expense,argue act commercial matter
27-05-2021,Not teach believe month.,Travel,162.69,Expense,teach believe month
29-05-2021,Deep test thought.,Rent,1233.87,Expense,deep test thought
30-05-2021,Another avoid understand.,Salary,1164.86,Expense,another avoid understand
31-05-2021,Probably conference sure administration debate.,Food & Drink,904.97,Expense,probably conference sure administration debate
31-05-2021,Up federal nor note.,Entertainment,649.84,Expense,federal note
02-06-2021,Forward sense cause write right.,Utilities,1915.87,Expense,forward sense cause write right
02-06-2021,Approach join stuff future.,Health & Fitness,1964.95,Expense,approach join stuff future
03-06-2021,Ahead event yeah make.,Investment,820,Income,ahead event yeah make
06-06-2021,Wait it quickly produce beat.,Salary,1982.06,Expense,wait quickly produce beat
06-06-2021,Require bank child.,Utilities,734.16,Expense,require child
06-06-2021,First blood accept final.,Shopping,823.45,Expense,first blood accept final
09-06-2021,Bill beautiful issue.,Food & Drink,1580.56,Expense,bill beautiful issue
11-06-2021,Mention billion bed never others.,Rent,666.08,Expense,mention billion bed never others
11-06-2021,Activity including single right.,Shopping,575.45,Expense,activity including single right
14-06-2021,Occur college herself.,Utilities,673.39,Expense,occur college
15-06-2021,Feeling manage as.,Utilities,1834.33,Expense,feeling manage
16-06-2021,Inside machine baby.,Shopping,266.61,Expense,inside machine baby
20-06-2021,Result many pattern.,Rent,626.07,Expense,result many pattern
20-06-2021,Career according.,Health & Fitness,1628.24,Expense,career according
22-06-2021,Success here television key.,Rent,1295.59,Expense,success television key
23-06-2021,Carry fly water cut fire.,Health & Fitness,46.28,Expense,carry fly water cut fire
24-06-2021,Fact reason make office.,Entertainment,690.05,Expense,fact reason make office
26-06-2021,Heavy staff hotel box.,Entertainment,460.82,Expense,heavy staff hotel box
27-06-2021,Or nation race.,Investment,2923,Income,nation race
28-06-2021,Well left.,Rent,1020.3,Expense,well left
28-06-2021,Something story attorney summer.,Food & Drink,1327.24,Expense,something story attorney summer
28-06-2021,Cause field education child.,Utilities,1198.52,Expense,cause field education child
28-06-2021,Available wrong look husband.,Investment,1856,Income,available wrong look husband
29-06-2021,Myself so growth time.,Food & Drink,827.61,Expense,growth time
04-07-2021,Point be shoulder price great.,Entertainment,1939.48,Expense,point shoulder price great
04-07-2021,Worker quality hundred sell whole.,Salary,475.67,Expense,worker quality hundred sell whole
04-07-2021,Action else.,Salary,1808.91,Expense,action else
06-07-2021,Newspaper reach determine hear leg.,Other,4282,Income,newspaper reach determine hear leg
07-07-2021,General agency bit.,Shopping,1010.78,Expense,general agency bit
09-07-2021,Break wait.,Utilities,1635.61,Expense,break wait
09-07-2021,Find lay deal lot.,Utilities,1747.27,Expense,find lay deal lot
10-07-2021,Just recent.,Other,3540,Income,recent
10-07-2021,Feel special.,Rent,1425.69,Expense,feel special
11-07-2021,Support possible.,Rent,577.28,Expense,support possible
11-07-2021,Might necessary former.,Travel,904.15,Expense,might necessary former
11-07-2021,Discussion if continue policy.,Shopping,192.51,Expense,discussion continue policy
12-07-2021,Ahead pass culture or.,Salary,1770.41,Expense,ahead pass culture
13-07-2021,Relate day.,Shopping,115.98,Expense,relate day
14-07-2021,Big the cost for leader.,Entertainment,778.47,Expense,big cost leader
15-07-2021,Month police others particularly.,Investment,730,Income,month police others particularly
19-07-2021,Girl suddenly.,Rent,1679.96,Expense,girl suddenly
19-07-2021,Try opportunity public.,Utilities,283.82,Expense,try opportunity public
23-07-2021,Draw bring health.,Salary,1395.18,Expense,draw bring health
23-07-2021,Home others offer institution main.,Other,4174,Income,home others offer institution main
24-07-2021,Never majority cell.,Rent,47.82,Expense,never majority cell
28-07-2021,People tend weight machine.,Utilities,1102.12,Expense,people tend weight machine
29-07-2021,White measure manager range.,Shopping,231.26,Expense,white measure manager range
02-08-2021,Major bar air set.,Travel,252.48,Expense,major bar air set
06-08-2021,Ever mrs.,Salary,134.99,Expense,ever mrs
07-08-2021,Not significant manager member.,Salary,1197.51,Expense,significant manager member
07-08-2021,Environmental myself.,Investment,1676,Income,environmental
08-08-2021,State among rest national wrong.,Food & Drink,1233.47,Expense,state among rest national wrong
09-08-2021,Fear yourself last.,Shopping,382.75,Expense,fear last
11-08-2021,Keep yes.,Health & Fitness,144.68,Expense,keep yes
13-08-2021,Specific onto go.,Food & Drink,787,Expense,specific onto
13-08-2021,Pattern size spend.,Shopping,1962.27,Expense,pattern size spend
15-08-2021,Go exactly much food region.,Food & Drink,720.62,Expense,exactly much food region
16-08-2021,Environment teach world quickly believe.,Investment,1349,Income,environment teach world quickly believe
18-08-2021,Yeah term.,Health & Fitness,275.49,Expense,yeah term
20-08-2021,Economic represent stock.,Health & Fitness,1628.88,Expense,economic represent stock
21-08-2021,Central plan physical heart.,Other,4420,Income,central plan physical heart
21-08-2021,Idea seek.,Utilities,135.57,Expense,idea seek
22-08-2021,Wear force able similar.,Salary,83.6,Expense,wear force able similar
23-08-2021,Play recently sure somebody.,Entertainment,1772.72,Expense,play recently sure somebody
24-08-2021,Why station manager.,Travel,1035.61,Expense,station manager
25-08-2021,Front official not.,Salary,514.09,Expense,front official
27-08-2021,Thus several animal phone.,Entertainment,579.36,Expense,thus several animal phone
29-08-2021,Buy tax.,Food & Drink,1732.94,Expense,buy tax
05-09-2021,A when dark read.,Rent,1600.69,Expense,dark read
06-09-2021,City usually ever.,Shopping,1489.18,Expense,city usually ever
09-09-2021,Bar professor power.,Shopping,684.68,Expense,bar professor power
09-09-2021,Personal rise sense investment.,Other,3509,Income,personal rise sense investment
09-09-2021,Ability live.,Travel,1604.28,Expense,ability live
10-09-2021,Difficult quite act receive stage.,Rent,866.91,Expense,difficult quite act receive stage
11-09-2021,Local director become.,Utilities,1095.49,Expense,local director become
11-09-2021,Finish thing.,Rent,662.56,Expense,finish thing
11-09-2021,Similar send card year.,Salary,1209.22,Expense,similar send card year
11-09-2021,Most across.,Salary,709.58,Expense,across
15-09-2021,Goal defense security turn.,Other,4063,Income,goal defense security turn
16-09-2021,Beautiful beyond sell.,Food & Drink,159.33,Expense,beautiful beyond sell
16-09-2021,White fire cause everybody.,Health & Fitness,1031.04,Expense,white fire cause everybody
17-09-2021,Network outside parent.,Utilities,1906.05,Expense,network outside parent
17-09-2021,Day parent country.,Other,785,Income,day parent country
19-09-2021,Position six soldier.,Investment,3500,Income,position six soldier
19-09-2021,History drop point audience.,Food & Drink,1214.14,Expense,history drop point audience
19-09-2021,Value car team nothing.,Health & Fitness,750.31,Expense,value car team nothing
19-09-2021,Raise several west side admit.,Utilities,1063.63,Expense,raise several west side admit
20-09-2021,Energy always.,Travel,506.73,Expense,energy always
21-09-2021,Media pick may indeed.,Investment,4588,Income,media pick may indeed
28-09-2021,Policy mrs.,Rent,530.94,Expense,policy mrs
01-10-2021,Base bad tv.,Salary,437,Expense,base bad
07-10-2021,Force only shake power poor.,Salary,408.35,Expense,force shake power poor
08-10-2021,Role suffer around beat.,Investment,4203,Income,role suffer around beat
13-10-2021,Law participant.,Other,1219,Income,law participant
13-10-2021,Budget remain reduce.,Health & Fitness,1339,Expense,budget remain reduce
13-10-2021,Well mission situation result.,Travel,1783.75,Expense,well mission situation result
16-10-2021,Camera sit environmental though.,Utilities,1589.46,Expense,camera sit environmental though
20-10-2021,Southern evening ask republican.,Rent,1970.41,Expense,southern evening ask republican
21-10-2021,Baby lawyer growth matter note.,Entertainment,1582.84,Expense,baby lawyer growth matter note
22-10-2021,Effort bill off.,Other,4328,Income,effort bill
24-10-2021,Scientist able teach.,Utilities,1227.78,Expense,scientist able teach
24-10-2021,Animal hair turn.,Other,3761,Income,animal hair turn
27-10-2021,Need trial.,Salary,1056.13,Expense,need trial
27-10-2021,Focus indicate result.,Rent,259.4,Expense,focus indicate result
30-10-2021,Number budget.,Rent,905.45,Expense,number budget
03-11-2021,Development middle animal.,Health & Fitness,265.39,Expense,development middle animal
04-11-2021,Theory tend.,Utilities,1537.89,Expense,theory tend
05-11-2021,Beat lead hard factor.,Investment,1517,Income,beat lead hard factor
05-11-2021,Drug happy will young simply.,Travel,337.67,Expense,drug happy young simply
06-11-2021,Character usually agency.,Entertainment,698.59,Expense,character usually agency
07-11-2021,Player really act friend.,Travel,1693.41,Expense,player really act friend
10-11-2021,Billion morning draw.,Travel,259.09,Expense,billion morning draw
15-11-2021,Win central.,Rent,1010.12,Expense,win central
16-11-2021,Analysis discuss.,Investment,1902,Income,analysis discuss
17-11-2021,Red head window be.,Health & Fitness,1686.63,Expense,red head window
18-11-2021,Card star avoid nothing.,Food & Drink,171.63,Expense,card star avoid nothing
18-11-2021,Door end fire.,Travel,1305.75,Expense,door end fire
19-11-2021,Fish evening avoid dark.,Shopping,1240.04,Expense,fish evening avoid dark
21-11-2021,Choice clearly.,Other,2974,Income,choice clearly
21-11-2021,Image movie who debate.,Shopping,601.89,Expense,image movie debate
21-11-2021,Enter build citizen rather.,Investment,1794,Income,enter build citizen rather
23-11-2021,Structure foreign before.,Salary,934.24,Expense,structure foreign
26-11-2021,How any federal star.,Utilities,632.04,Expense,federal star
27-11-2021,Weight take.,Health & Fitness,1950.99,Expense,weight take
28-11-2021,Economic left sound cause activity.,Other,4718,Income,economic left sound cause activity
01-12-2021,Cup hundred rather.,Health & Fitness,491.06,Expense,cup hundred rather
02-12-2021,Only true avoid young cup.,Other,2530,Income,true avoid young cup
03-12-2021,Begin suggest speak.,Investment,2877,Income,begin suggest speak
03-12-2021,Walk anything.,Shopping,504.06,Expense,walk anything
08-12-2021,Start house ahead raise.,Utilities,1628.82,Expense,start house ahead raise
09-12-2021,Democrat cost evidence third.,Health & Fitness,387.77,Expense,democrat cost evidence third
09-12-2021,People early far include nearly.,Other,4585,Income,people early far include nearly
11-12-2021,Evidence case.,Salary,56.12,Expense,evidence case
12-12-2021,Eat yes myself affect him.,Salary,1933.71,Expense,eat yes affect
13-12-2021,Name machine tree maybe.,Health & Fitness,106.83,Expense,name machine tree maybe
13-12-2021,Conference five despite.,Salary,578.64,Expense,conference five despite
15-12-2021,Speak line.,Investment,4030,Income,speak line
15-12-2021,Yourself wind beyond prevent entire.,Other,3496,Income,wind beyond prevent entire
16-12-2021,Offer work home.,Health & Fitness,100.03,Expense,offer work home
19-12-2021,Door fish scene.,Investment,3469,Income,door fish scene
20-12-2021,Agreement red way nor none.,Rent,778.83,Expense,agreement red way none
20-12-2021,My compare also argue.,Travel,1652.37,Expense,compare also argue
23-12-2021,Money a.,Rent,266.04,Expense,money
24-12-2021,Future concern sort.,Other,3277,Income,future concern sort
28-12-2021,Suffer team.,Other,4596,Income,suffer team
31-12-2021,Relate product only from.,Investment,1622,Income,relate product
01-01-2022,Wish run join.,Salary,1043.47,Expense,wish run join
03-01-2022,Company why really up.,Investment,3186,Income,company really
03-01-2022,Program sport her.,Health & Fitness,333.38,Expense,program sport
03-01-2022,Concern ability reduce.,Travel,1191.51,Expense,concern ability reduce
04-01-2022,Surface side nothing consider.,Salary,1420.39,Expense,surface side nothing consider
05-01-2022,Determine not view cell seat.,Food & Drink,743.03,Expense,determine view cell seat
06-01-2022,Word collection those become.,Shopping,1171.57,Expense,word collection become
08-01-2022,Activity decide really go.,Food & Drink,1197.85,Expense,activity decide really
09-01-2022,Answer just.,Entertainment,1445.59,Expense,answer
13-01-2022,This manage her.,Utilities,1053.22,Expense,manage
13-01-2022,Big look tell prepare.,Shopping,304.07,Expense,big look tell prepare
14-01-2022,Later son almost.,Food & Drink,1149.41,Expense,later son almost
16-01-2022,End bit game thousand.,Entertainment,47.69,Expense,end bit game thousand
16-01-2022,Natural together.,Utilities,831.79,Expense,natural together
18-01-2022,Order party lot all.,Salary,1746.91,Expense,party lot
18-01-2022,Threat church big day couple.,Food & Drink,1414.49,Expense,threat church big day couple
21-01-2022,Enter example down anyone occur.,Health & Fitness,1996.26,Expense,enter example anyone occur
21-01-2022,Approach about because.,Shopping,634.37,Expense,approach
22-01-2022,Best deal point.,Other,4975,Income,best deal point
23-01-2022,Such final however major.,Travel,1224.05,Expense,final however major
24-01-2022,Politics hold.,Investment,2785,Income,politics hold
28-01-2022,Hard knowledge enjoy let.,Entertainment,1883.56,Expense,hard knowledge enjoy let
01-02-2022,Nor character recent.,Travel,1412.75,Expense,character recent
02-02-2022,Property space.,Salary,640.91,Expense,property space
05-02-2022,Dinner article hit mission whole.,Travel,582.7,Expense,dinner article hit mission whole
05-02-2022,Think live bad total research.,Shopping,1792.56,Expense,think live bad total research
06-02-2022,Too song quality per build.,Health & Fitness,1909.67,Expense,song quality per build
08-02-2022,We cold deep.,Travel,93.71,Expense,cold deep
08-02-2022,Amount bad raise.,Rent,699.26,Expense,amount bad raise
09-02-2022,Challenge organization floor road southern.,Travel,1497.2,Expense,challenge organization floor road southern
10-02-2022,News need task mind.,Travel,1866.72,Expense,news need task mind
10-02-2022,Onto site both change note.,Utilities,227.36,Expense,onto site change note
10-02-2022,Understand none.,Entertainment,492.49,Expense,understand none
10-02-2022,Test they there.,Entertainment,1279.51,Expense,test
11-02-2022,Pressure occur list common.,Other,3205,Income,pressure occur list common
14-02-2022,Peace race i.,Rent,1365.57,Expense,peace race
17-02-2022,Real any little environmental.,Investment,3833,Income,real little environmental
17-02-2022,Full soldier.,Salary,960.12,Expense,full soldier
17-02-2022,Successful teach range.,Other,3131,Income,successful teach range
17-02-2022,Feel season similar.,Food & Drink,1816.79,Expense,feel season similar
18-02-2022,Rock painting become.,Investment,4883,Income,rock painting become
21-02-2022,Tree imagine machine.,Food & Drink,1827.33,Expense,tree imagine machine
22-02-2022,Start middle city find.,Investment,797,Income,start middle city find
22-02-2022,Career surface these ahead.,Shopping,1578.04,Expense,career surface ahead
25-02-2022,Student economic lead.,Other,806,Income,student economic lead
27-02-2022,Ever statement measure.,Investment,3244,Income,ever statement measure
01-03-2022,Drop major.,Salary,1779.63,Expense,drop major
02-03-2022,Whether listen necessary.,Other,2735,Income,whether listen necessary
04-03-2022,Study else store.,Investment,3208,Income,study else store
05-03-2022,Agree anyone take.,Other,2607,Income,agree anyone take
07-03-2022,Positive question especially.,Food & Drink,1475.87,Expense,positive question especially
07-03-2022,After sister should across treatment.,Entertainment,359.23,Expense,sister across treatment
12-03-2022,Song difference part wall require.,Shopping,1655.71,Expense,song difference part wall require
14-03-2022,Time surface learn design.,Rent,807.66,Expense,time surface learn design
17-03-2022,Station however bill memory production.,Investment,4411,Income,station however bill memory production
17-03-2022,Positive participant fear blue as.,Entertainment,23.59,Expense,positive participant fear blue
18-03-2022,Technology end represent throughout.,Salary,1509.98,Expense,technology end represent throughout
18-03-2022,Change she tonight.,Travel,1169.1,Expense,change tonight
18-03-2022,Race return pretty young.,Travel,1310.83,Expense,race return pretty young
20-03-2022,Identify say on yes.,Food & Drink,1338.89,Expense,identify say yes
20-03-2022,Risk develop movement size.,Utilities,816.78,Expense,risk develop movement size
22-03-2022,Feel color price next.,Travel,1383.68,Expense,feel color price next
23-03-2022,Likely scientist.,Travel,741.41,Expense,likely scientist
23-03-2022,Water tonight pressure.,Utilities,961.58,Expense,water tonight pressure
24-03-2022,Development the inside thought.,Health & Fitness,837.53,Expense,development inside thought
25-03-2022,One less brother.,Salary,1517.13,Expense,one less brother
26-03-2022,Oil per line create build.,Entertainment,1526.1,Expense,oil per line create build
27-03-2022,Fear approach take case customer.,Rent,1055.76,Expense,fear approach take case customer
28-03-2022,Throughout would century television congress.,Health & Fitness,165.42,Expense,throughout would century television congress
28-03-2022,Forward would finish around.,Food & Drink,1659.26,Expense,forward would finish around
28-03-2022,Decide similar office.,Entertainment,1149.68,Expense,decide similar office
28-03-2022,Size sister can its.,Other,4762,Income,size sister
29-03-2022,Investment local above move.,Entertainment,1436.67,Expense,investment local move
29-03-2022,Throughout series.,Salary,1619.3,Expense,throughout series
31-03-2022,Adult above safe.,Shopping,919.03,Expense,adult safe
31-03-2022,Fine bill me fill.,Other,3024,Income,fine bill fill
31-03-2022,Fear fact.,Shopping,516.37,Expense,fear fact
01-04-2022,Model its rather card you.,Investment,1098,Income,model rather card
01-04-2022,Seek close trade speech.,Other,1022,Income,seek close trade speech
01-04-2022,Difference world deep.,Food & Drink,1869.82,Expense,difference world deep
01-04-2022,Mean but represent society heart.,Other,759,Income,mean represent society heart
02-04-2022,Perhaps order answer blue structure.,Utilities,1540.25,Expense,perhaps answer blue structure
02-04-2022,Indicate herself.,Shopping,755.18,Expense,indicate
03-04-2022,Listen check receive.,Salary,1740.54,Expense,listen check receive
03-04-2022,Inside big minute.,Shopping,169.7,Expense,inside big minute
04-04-2022,Store bit responsibility brother.,Utilities,1310.53,Expense,store bit responsibility brother
05-04-2022,Marriage participant.,Utilities,1985.77,Expense,marriage participant
08-04-2022,Win group important civil nature.,Utilities,1458.44,Expense,win group important civil nature
09-04-2022,Former able public trade.,Food & Drink,1514.8,Expense,former able public trade
09-04-2022,Chance bed memory rich.,Salary,1350.26,Expense,chance bed memory rich
10-04-2022,Popular lead with.,Shopping,1648.49,Expense,popular lead
10-04-2022,Anyone spend them system.,Health & Fitness,318.69,Expense,anyone spend system
16-04-2022,International break surface three.,Investment,763,Income,international break surface three
18-04-2022,Professional color group.,Shopping,1233.7,Expense,professional color group
18-04-2022,Environmental run head garden box.,Food & Drink,488.93,Expense,environmental run head garden box
21-04-2022,Even history surface son.,Investment,4157,Income,even history surface son
22-04-2022,Car risk.,Food & Drink,497.02,Expense,car risk
22-04-2022,Indeed opportunity.,Other,2419,Income,indeed opportunity
24-04-2022,Consider here grow agreement.,Food & Drink,288.87,Expense,consider grow agreement
24-04-2022,Turn both in animal.,Entertainment,1633.41,Expense,turn animal
29-04-2022,Actually than modern season.,Health & Fitness,1159.17,Expense,actually modern season
30-04-2022,Within prove full.,Health & Fitness,481.44,Expense,within prove full
02-05-2022,Believe product eat generation put.,Entertainment,832.98,Expense,believe product eat generation put
02-05-2022,Stuff next write.,Utilities,1255.73,Expense,stuff next write
03-05-2022,Poor church.,Salary,103.3,Expense,poor church
05-05-2022,Thank avoid man drive.,Shopping,1573.75,Expense,thank avoid man drive
05-05-2022,Medical nearly.,Shopping,822.44,Expense,medical nearly
06-05-2022,Stage bad know of.,Utilities,1511.29,Expense,stage bad know
07-05-2022,Language budget market president.,Entertainment,608.47,Expense,language budget market president
07-05-2022,Include news a before.,Salary,1830.33,Expense,include news
07-05-2022,None pressure lay future stay.,Shopping,1119,Expense,none pressure lay future stay
08-05-2022,Forward should outside respond.,Investment,2588,Income,forward outside respond
08-05-2022,Box service develop game.,Rent,1845.23,Expense,box service develop game
09-05-2022,Miss reduce animal clearly cell.,Rent,1075.91,Expense,miss reduce animal clearly cell
09-05-2022,Effect cultural.,Food & Drink,544.24,Expense,effect cultural
11-05-2022,Democratic station course full.,Food & Drink,1748.5,Expense,democratic station course full
13-05-2022,Unit study.,Investment,4427,Income,unit study
13-05-2022,Leader operation mean white.,Health & Fitness,613.34,Expense,leader operation mean white
14-05-2022,Save network item one under.,Entertainment,1874.95,Expense,save network item one
19-05-2022,Community spring billion price paper.,Rent,1496.29,Expense,community spring billion price paper
19-05-2022,Thing industry participant realize.,Entertainment,1394.3,Expense,thing industry participant realize
20-05-2022,Huge garden family.,Shopping,1831.1,Expense,huge garden family
20-05-2022,Include record security.,Travel,767.52,Expense,include record security
22-05-2022,Team republican very plan cut.,Health & Fitness,623.76,Expense,team republican plan cut
23-05-2022,Tv car report window.,Salary,937.35,Expense,car report window
24-05-2022,My pm report set.,Salary,1525.64,Expense,report set
24-05-2022,Old wall report purpose.,Entertainment,747.7,Expense,old wall report purpose
25-05-2022,There institution actually.,Entertainment,1485.09,Expense,institution actually
27-05-2022,Herself apply.,Other,2918,Income,apply
28-05-2022,Environment size worker.,Other,2384,Income,environment size worker
29-05-2022,Style real far.,Entertainment,1003.61,Expense,style real far
29-05-2022,Grow laugh.,Health & Fitness,522.08,Expense,grow laugh
30-05-2022,Score night down.,Salary,927.05,Expense,score night
30-05-2022,Unit hold.,Health & Fitness,346.84,Expense,unit hold
31-05-2022,Approach season data than team.,Salary,376.26,Expense,approach season data team
01-06-2022,Treatment relate positive.,Food & Drink,1052.65,Expense,treatment relate positive
01-06-2022,Cultural right cover large work.,Rent,1890.92,Expense,cultural right cover large work
04-06-2022,While same budget.,Food & Drink,830.66,Expense,budget
04-06-2022,Evidence enough claim suffer.,Entertainment,145.26,Expense,evidence enough claim suffer
06-06-2022,Letter visit always up.,Investment,4642,Income,letter visit always
07-06-2022,Past product make of group.,Food & Drink,1239.49,Expense,past product make group
07-06-2022,Detail contain attention measure indeed.,Salary,1321.98,Expense,detail contain attention measure indeed
11-06-2022,Begin determine degree forward.,Other,597,Income,begin determine degree forward
11-06-2022,Despite sell most.,Other,4888,Income,despite sell
12-06-2022,Boy generation.,Food & Drink,1009.41,Expense,boy generation
12-06-2022,Truth during always those high.,Shopping,1614.27,Expense,truth always high
12-06-2022,Either rich agency might.,Rent,1836.92,Expense,either rich agency might
13-06-2022,Sort knowledge analysis together court.,Entertainment,391.94,Expense,sort knowledge analysis together court
17-06-2022,Way cold.,Health & Fitness,541.98,Expense,way cold
17-06-2022,Account assume prove similar ten.,Health & Fitness,1919,Expense,account assume prove similar ten
18-06-2022,Day stock.,Entertainment,1980.56,Expense,day stock
19-06-2022,Section child.,Rent,1310.93,Expense,section child
20-06-2022,Also available concern edge.,Food & Drink,196.07,Expense,also available concern edge
21-06-2022,Start treat imagine later identify.,Salary,121.67,Expense,start treat imagine later identify
21-06-2022,Hope brother.,Investment,1177,Income,hope brother
23-06-2022,As second animal summer group.,Shopping,1293.37,Expense,second animal summer group
23-06-2022,Face rate.,Rent,1790.63,Expense,face rate
25-06-2022,She join house.,Entertainment,430.72,Expense,join house
25-06-2022,Choose detail section someone.,Salary,549.48,Expense,choose detail section someone
26-06-2022,Whether century quality.,Travel,1799.63,Expense,whether century quality
26-06-2022,Network never.,Food & Drink,366.92,Expense,network never
30-06-2022,Above others.,Food & Drink,1923.32,Expense,others
01-07-2022,Water fight security tough gas.,Shopping,1858.46,Expense,water fight security tough gas
02-07-2022,Central contain pattern education boy.,Entertainment,1137.72,Expense,central contain pattern education boy
04-07-2022,Surface usually.,Health & Fitness,773.85,Expense,surface usually
04-07-2022,Popular available public economy.,Rent,1006.58,Expense,popular available public economy
04-07-2022,Maintain former campaign pretty beyond.,Food & Drink,204.39,Expense,maintain former campaign pretty beyond
05-07-2022,Fish late pattern.,Rent,687.78,Expense,fish late pattern
06-07-2022,Charge note space when collection.,Shopping,1938.15,Expense,charge note space collection
13-07-2022,Size republican political.,Travel,1569.26,Expense,size republican political
17-07-2022,Care run there leg.,Entertainment,718.06,Expense,care run leg
17-07-2022,Main board population.,Shopping,379.62,Expense,main board population
17-07-2022,Teach cause mrs.,Shopping,180.53,Expense,teach cause mrs
18-07-2022,Baby away affect medical all.,Entertainment,1429.09,Expense,baby away affect medical
18-07-2022,If operation trade necessary myself.,Investment,3612,Income,operation trade necessary
19-07-2022,President chance hotel through.,Utilities,1481.91,Expense,president chance hotel
20-07-2022,Let member however.,Rent,192.13,Expense,let member however
22-07-2022,Production summer.,Salary,726.24,Expense,production summer
25-07-2022,Cell city not not the.,Utilities,183.72,Expense,cell city
27-07-2022,Voice american seven discussion.,Shopping,215.55,Expense,voice american seven discussion
27-07-2022,Doctor protect military social.,Investment,3157,Income,doctor protect military social
27-07-2022,Truth thing always possible.,Food & Drink,590.78,Expense,truth thing always possible
27-07-2022,Plant event score official now.,Rent,1452.44,Expense,plant event score official
28-07-2022,Half president structure might.,Entertainment,1148.2,Expense,half president structure might
28-07-2022,Might good test.,Other,1888,Income,might good test
29-07-2022,Thought according think key.,Other,2698,Income,thought according think key
30-07-2022,Method exactly.,Rent,342.74,Expense,method exactly
31-07-2022,Church own stage.,Travel,973.62,Expense,church stage
02-08-2022,Specific result loss long.,Other,2520,Income,specific result loss long
02-08-2022,Claim street against amount of.,Salary,1191.67,Expense,claim street amount
03-08-2022,Picture always occur.,Investment,1609,Income,picture always occur
04-08-2022,Election conference when.,Shopping,671.11,Expense,election conference
06-08-2022,These road.,Health & Fitness,886.04,Expense,road
07-08-2022,Describe paper.,Utilities,607.87,Expense,describe paper
12-08-2022,Color store over some.,Entertainment,963.23,Expense,color store
13-08-2022,Process enough right garden law.,Other,3114,Income,process enough right garden law
15-08-2022,Her car admit.,Salary,1935.85,Expense,car admit
15-08-2022,Range step painting concern.,Health & Fitness,758.35,Expense,range step painting concern
16-08-2022,Me brother lot candidate owner.,Shopping,736.38,Expense,brother lot candidate owner
16-08-2022,Miss have analysis morning.,Entertainment,1188.53,Expense,miss analysis morning
17-08-2022,Smile high open scientist.,Food & Drink,1906.48,Expense,smile high open scientist
18-08-2022,International effort.,Entertainment,882.53,Expense,international effort
19-08-2022,Exist theory.,Rent,1639.74,Expense,exist theory
21-08-2022,Country remember smile.,Shopping,1349.23,Expense,country remember smile
21-08-2022,Brother according pressure reach firm.,Other,2482,Income,brother according pressure reach firm
22-08-2022,Choice prepare.,Utilities,1433.32,Expense,choice prepare
22-08-2022,Talk interest hand.,Rent,903.64,Expense,talk interest hand
23-08-2022,Sense including six lot.,Shopping,1073.39,Expense,sense including six lot
24-08-2022,Never effect fill general relationship.,Shopping,1091.85,Expense,never effect fill general relationship
26-08-2022,Security land record.,Health & Fitness,1406.25,Expense,security land record
26-08-2022,Democrat hundred.,Rent,227.65,Expense,democrat hundred
28-08-2022,Pass range appear home player.,Health & Fitness,341.01,Expense,pass range appear home player
29-08-2022,Likely outside because.,Shopping,1933.95,Expense,likely outside
30-08-2022,He participant right.,Shopping,220.83,Expense,participant right
31-08-2022,Prevent expert white arm similar.,Investment,4683,Income,prevent expert white arm similar
31-08-2022,Keep cut prevent sound.,Entertainment,897.1,Expense,keep cut prevent sound
01-09-2022,Almost outside middle.,Utilities,696.49,Expense,almost outside middle
02-09-2022,College already dream a church.,Investment,2920,Income,college already dream church
03-09-2022,Good house only military.,Rent,240.98,Expense,good house military
03-09-2022,Near risk.,Utilities,703.17,Expense,near risk
03-09-2022,Give white everybody paper create.,Entertainment,1047.02,Expense,give white everybody paper create
04-09-2022,Above company media next me.,Rent,881.95,Expense,company media next
04-09-2022,Sort what.,Health & Fitness,143.68,Expense,sort
05-09-2022,Economic kind help low during.,Investment,685,Income,economic kind help low
06-09-2022,Race to television loss.,Rent,1357.51,Expense,race television loss
07-09-2022,Him small.,Investment,4727,Income,small
08-09-2022,Son include good.,Investment,3211,Income,son include good
10-09-2022,Red enjoy.,Salary,471.39,Expense,red enjoy
